x plastic strain,x true stress,y plastic strain,y true stress
0.01286,1121.69638,2.28E-04,562.81764
0.01288,1121.11456,2.31E-04,562.42028
0.0129,1121.36127,2.30E-04,562.75006
0.01291,1122.20163,2.30E-04,562.6831
0.01293,1122.06761,2.30E-04,562.21584
0.01295,1122.22447,2.30E-04,562.93755
0.01297,1122.38952,2.32E-04,562.24029
0.01298,1122.35544,2.31E-04,563.53966
0.013,1122.94102,2.33E-04,562.35428
0.01302,1122.8902,2.32E-04,563.54618
0.01304,1123.64064,2.33E-04,562.56927
0.01305,1123.14168,2.32E-04,563.24179
0.01307,1123.60666,2.33E-04,563.25636
0.01309,1123.87756,2.33E-04,563.20396
0.01311,1123.73025,2.34E-04,563.77903
0.01312,1124.30269,2.34E-04,562.89628
0.01314,1124.08896,2.34E-04,564.12322
0.01316,1123.89124,2.36E-04,563.19772
0.01318,1124.78493,2.34E-04,564.41293
0.01319,1124.94395,2.37E-04,563.31055
0.01321,1125.06577,2.36E-04,564.07373
0.01323,1125.00147,2.37E-04,563.71143
0.01325,1125.15485,2.36E-04,563.76717
0.01326,1125.55432,2.38E-04,564.77027
0.01328,1125.73091,2.39E-04,564.01719
0.0133,1126.01488,2.38E-04,565.03506
0.01332,1125.79138,2.40E-04,563.98653
0.01333,1125.93629,2.38E-04,565.12323
0.01335,1125.89491,2.41E-04,564.06126
0.01337,1126.44336,2.39E-04,565.04352
0.01338,1126.6703,2.42E-04,564.67213
0.0134,1127.00309,2.41E-04,565.04569
0.01342,1126.57366,2.43E-04,565.32333
0.01344,1126.85138,2.42E-04,564.62635
0.01346,1127.95694,2.41E-04,565.67423
0.01347,1127.3651,2.44E-04,564.6181
0.01349,1127.51869,2.43E-04,566.2041
0.01351,1127.90887,2.45E-04,564.79651
0.01353,1128.04441,2.43E-04,565.92765
0.01354,1127.94368,2.46E-04,565.34285
0.01356,1128.11784,2.45E-04,565.81122
0.01358,1128.64015,2.47E-04,566.21707
0.01359,1128.60139,2.47E-04,565.78457
0.01361,1128.46858,2.48E-04,566.60907
0.01363,1128.6626,2.49E-04,565.39218
0.01365,1129.31146,2.48E-04,566.67245
0.01366,1129.49345,2.51E-04,565.75269
0.01368,1129.70188,2.49E-04,566.8203
0.0137,1129.47187,2.54E-04,566.38589
0.01372,1129.66782,2.54E-04,567.21157
0.01374,1129.67687,2.54E-04,566.65095
0.01375,1129.93953,2.55E-04,566.41903
0.01377,1130.7969,2.56E-04,567.22664
0.01379,1130.62601,2.57E-04,566.383
0.01381,1130.80726,2.57E-04,567.63337
0.01382,1130.43143,2.60E-04,566.54626
0.01384,1130.99406,2.59E-04,567.77451
0.01386,1130.93136,2.62E-04,566.73002
0.01388,1131.67009,2.61E-04,567.5146
0.01389,1131.62956,2.63E-04,567.35911
0.01391,1131.59796,2.64E-04,567.53478
0.01393,1131.5989,2.66E-04,568.11719
0.01395,1132.53458,2.66E-04,567.26115
0.01397,1132.43875,2.66E-04,568.07131
0.01398,1132.13197,2.70E-04,567.31333
0.014,1132.36625,2.70E-04,569.01658
0.01402,1132.80674,2.72E-04,567.60768
0.01404,1132.75463,2.71E-04,568.28939
0.01406,1133.47306,2.73E-04,567.85187
0.01407,1133.2088,2.73E-04,568.01176
0.01409,1133.31433,2.76E-04,568.67593
0.01411,1133.42331,2.77E-04,568.17955
0.01413,1133.63959,2.77E-04,569.06651
0.01414,1134.21133,2.80E-04,567.99083
0.01416,1134.17568,2.79E-04,569.0901
0.01418,1133.77325,2.84E-04,568.36401
0.0142,1133.76769,2.85E-04,569.49244
0.01422,1134.66799,2.87E-04,568.84223
0.01423,1134.43423,2.87E-04,569.0245
0.01425,1134.47943,2.90E-04,569.06107
0.01427,1134.79959,2.92E-04,568.54217
0.01429,1134.93461,2.93E-04,569.44576
0.01431,1135.16979,2.97E-04,568.75109
0.01432,1135.00937,2.98E-04,570.37509
0.01434,1135.59466,3.02E-04,569.30015
0.01436,1135.59082,3.01E-04,570.00248
0.01438,1135.64675,3.05E-04,568.9369
0.0144,1135.96251,3.05E-04,569.63211
0.01442,1135.88391,3.09E-04,569.85332
0.01443,1136.15934,3.11E-04,569.52202
0.01445,1136.63645,3.12E-04,570.04988
0.01447,1136.04999,3.17E-04,569.41516
0.01449,1137.01847,3.20E-04,571.8235
0.01451,1136.71284,3.23E-04,569.81483
0.01453,1137.41704,3.23E-04,570.71954
0.01455,1137.41055,3.28E-04,569.87196
0.01457,1137.38459,3.30E-04,570.43375
0.01459,1136.92158,3.35E-04,570.39093
0.01461,1137.38959,3.37E-04,570.10182
0.01463,1137.56413,3.41E-04,570.73203
0.01464,1137.84877,3.46E-04,570.26205
0.01466,1138.17194,3.50E-04,571.7916
0.01468,1138.06113,3.54E-04,570.33666
